category,defect_type,mask_file,image_height,image_width,total_pixels,defect_area_pixels,defect_area_percent
bottle,broken_large,000_mask.png,900,900,810000,88192,10.8879012345679
bottle,broken_large,001_mask.png,900,900,810000,76641,9.461851851851852
bottle,broken_large,002_mask.png,900,900,810000,125835,15.535185185185185
bottle,broken_large,003_mask.png,900,900,810000,222091,27.418641975308645
bottle,broken_large,004_mask.png,900,900,810000,33132,4.090370370370371
bottle,broken_large,005_mask.png,900,900,810000,33201,4.098888888888888
bottle,broken_large,006_mask.png,900,900,810000,123810,15.285185185185185
bottle,broken_large,007_mask.png,900,900,810000,130952,16.166913580246913
bottle,broken_large,008_mask.png,900,900,810000,105614,13.038765432098764
bottle,broken_large,009_mask.png,900,900,810000,70875,8.75
bottle,broken_large,010_mask.png,900,900,810000,90028,11.114567901234567
bottle,broken_large,011_mask.png,900,900,810000,60540,7.474074074074075
bottle,broken_large,012_mask.png,900,900,810000,70457,8.698395061728394
bottle,broken_large,013_mask.png,900,900,810000,109290,13.492592592592592
bottle,broken_large,014_mask.png,900,900,810000,38206,4.71679012345679
bottle,broken_large,015_mask.png,900,900,810000,75659,9.340617283950618
bottle,broken_large,016_mask.png,900,900,810000,118913,14.680617283950617
bottle,broken_large,017_mask.png,900,900,810000,114063,14.081851851851852
bottle,broken_large,018_mask.png,900,900,810000,106080,13.096296296296298
bottle,broken_large,019_mask.png,900,900,810000,102217,12.619382716049381
bottle,broken_small,000_mask.png,900,900,810000,7166,0.8846913580246915
bottle,broken_small,001_mask.png,900,900,810000,11966,1.477283950617284
bottle,broken_small,002_mask.png,900,900,810000,29456,3.636543209876543
bottle,broken_small,003_mask.png,900,900,810000,65292,8.06074074074074
bottle,broken_small,004_mask.png,900,900,810000,25926,3.200740740740741
bottle,broken_small,005_mask.png,900,900,810000,12266,1.5143209876543209
bottle,broken_small,006_mask.png,900,900,810000,21797,2.6909876543209874
bottle,broken_small,007_mask.png,900,900,810000,17046,2.1044444444444443
bottle,broken_small,008_mask.png,900,900,810000,17311,2.1371604938271607
bottle,broken_small,009_mask.png,900,900,810000,19096,2.357530864197531
bottle,broken_small,010_mask.png,900,900,810000,37177,4.589753086419753
bottle,broken_small,011_mask.png,900,900,810000,15597,1.9255555555555557
bottle,broken_small,012_mask.png,900,900,810000,63191,7.801358024691359
bottle,broken_small,013_mask.png,900,900,810000,26219,3.236913580246913
bottle,broken_small,014_mask.png,900,900,810000,14546,1.7958024691358025
bottle,broken_small,015_mask.png,900,900,810000,13480,1.6641975308641976
bottle,broken_small,016_mask.png,900,900,810000,16578,2.046666666666667
bottle,broken_small,017_mask.png,900,900,810000,20384,2.5165432098765432
bottle,broken_small,018_mask.png,900,900,810000,46314,5.717777777777778
bottle,broken_small,019_mask.png,900,900,810000,22626,2.7933333333333334
bottle,broken_small,020_mask.png,900,900,810000,28333,3.497901234567901
bottle,broken_small,021_mask.png,900,900,810000,14995,1.8512345679012345
bottle,contamination,000_mask.png,900,900,810000,58708,7.247901234567901
bottle,contamination,001_mask.png,900,900,810000,58120,7.175308641975309
